Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
47,CCAFS,Zuma,C,LEO,"<td><div class=""plainlist"">
<ul><li><a class=""mw-redirect"" href=""/wiki/Hisdesat"" title=""Hisdesat"">Hisdesat</a></li>
<li><a href=""/wiki/ExactEarth"" title=""ExactEarth"">exactEarth</a></li>
<li><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a></li></ul>
</div>
</td>",Success,F9 B4,No attempt,8 January 2018,01:00
48,CCAFS,GovSat-1,"4,230 kg",GTO,"<td><div class=""plainlist"">
<ul><li><a href=""/wiki/Hispasat"" title=""Hispasat"">Hispasat</a><sup class=""reference"" id=""cite_ref-spx20150914_286-1""><a href=""#cite_note-spx20150914-286"">[277]</a></sup></li>
<li><a href=""/wiki/NovaWurks"" title=""NovaWurks"">NovaWurks</a></li></ul>
</div>
</td>",Success,F9 FTB1032.2,No attempt,31 January 2018,21:25
49,VAFB,Paz,"2,150 kg",SSO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>",Success,F9 FTB1038.2,No attempt,22 February 2018,14:17
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,F9 B4,Success,6 March 2018,05:33
51,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Launch_Services_Program"" title=""Launch Services Program"">LSP</a>)
</td>",Success,F9 B4B1041.2,Success,30 March 2018,14:14
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,"<td><a href=""/wiki/Thales_Alenia_Space"" title=""Thales Alenia Space"">Thales-Alenia</a> / <a href=""/wiki/Bangladesh_Telecommunication_Regulatory_Commission"" title=""Bangladesh Telecommunication Regulatory Commission"">BTRC</a>
</td>",Success,F9 B4B1039.2,No attempt,2 April 2018,20:30
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,"<td><div class=""plainlist"">
<ul><li><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a></li>
<li><a href=""/wiki/GFZ_German_Research_Centre_for_Geosciences"" title=""GFZ German Research Centre for Geosciences"">GFZ</a> • <a href=""/wiki/NASA"" title=""NASA"">NASA</a></li></ul>
</div>
</td>",Success,F9 B4,No attempt,18 April 2018,22:51
54,KSC,Bangabandhu-1,"3,600 kg",GTO,"<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,F9 B5B1046.1,No attempt,11 May 2018,20:14
55,VAFB,Iridium NEXT,"6,460 kg",Polar,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,F9 B4B1043.2,Success,22 May 2018,19:47
56,CCAFS,SES-12,"5,384 kg",GTO,"<td><a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>
</td>",Success,F9 B4B1040.2,Success,4 June 2018,04:45
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>",Success,F9 B4B1045.2,Success,29 June 2018,09:42
58,CCAFS,Telstar 19V,"7,075 kg",GTO,"<td><a href=""/wiki/Telkom_Indonesia"" title=""Telkom Indonesia"">Telkom Indonesia</a>
</td>",Success,F9 B5,Success,22 July 2018,05:50
59,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><a href=""/wiki/Telesat"" title=""Telesat"">Telesat</a>
</td>",Success,F9 B5B1048,Success,25 July 2018,11:39
60,CCAFS,Merah Putih,"5,800 kg",GTO,"<td><a href=""/wiki/Comisi%C3%B3n_Nacional_de_Actividades_Espaciales"" title=""Comisión Nacional de Actividades Espaciales"">CONAE</a>
</td>",Success,F9 B5B1046.2,Success,7 August 2018,05:18
61,CCAFS,Telstar 18V,"7,060 kg",GTO,"<td><a href=""/wiki/Es%27hailSat"" title=""Es'hailSat"">Es'hailSat</a>
</td>",Success,F9 B5,Success,10 September 2018,04:45
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,"<td><a href=""/wiki/Spaceflight_Industries"" title=""Spaceflight Industries"">Spaceflight Industries</a>
</td>","Success
",F9 B5B1048.2,Failure,8 October 2018,02:22
63,KSC,Es'hail 2,"5,300 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,F9 B5B1047.2,No attempt,15 November 2018,20:46
64,VAFB,SSO-A,"~4,000 kg",SSO,"<td><a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>
</td>","Success
",F9 B5B1046.3,Success,3 December 2018,18:34:05
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>","Success
",F9 B5,Success,5 December 2018,18:16
66,CCAFS,GPS III,"4,400 kg",MEO,"<td><div class=""plainlist"">
<ul><li><a href=""/wiki/PT_Pasifik_Satelit_Nusantara"" title=""PT Pasifik Satelit Nusantara"">PSN</a></li>
<li><a href=""/wiki/SpaceIL"" title=""SpaceIL"">SpaceIL</a> / <a href=""/wiki/Israel_Aerospace_Industries"" title=""Israel Aerospace Industries"">IAI</a></li>
<li><a href=""/wiki/Air_Force_Research_Laboratory"" title=""Air Force Research Laboratory"">Air Force Research</a></li></ul>
</div>
</td>","Success
",F9 B5,Success,23 December 2018,13:51
67,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><span class=""nowrap""> <a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/Commercial_Crew_Development"" title=""Commercial Crew Development"">CCD</a>) </span>
</td>","Success
",F9 B5B1049.2,Success,11 January 2019,15:31
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 B5B1048.3,Success,22 February 2019,01:45
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5[268],Success,2 March 2019,07:49
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,"<td><a href=""/wiki/Canadian_Space_Agency"" title=""Canadian Space Agency"">Canadian Space Agency</a> (CSA)
</td>","Success
",F9 B5,Success,4 May 2019,06:48
71,CCAFS,Starlink,"13,620 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 B5B1049.3,No attempt,24 May 2019,02:30
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,"<td><a href=""/wiki/Spacecom"" title=""Spacecom"">Spacecom</a>
</td>","Success
",F9 B5B1051.2,Success,12 June 2019,14:17
73,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,"<td><a href=""/wiki/Spacecom"" title=""Spacecom"">SpaceX</a>
</td>","Success
",F9 B5B1056.2,Success,25 July 2019,22:01
74,CCAFS,AMOS-17,"6,500 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 B5B1047.3,Success,6 August 2019,23:23
75,CCAFS,Starlink,"15,600 kg",LEO,"<td><a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">Sky Perfect JSAT</a><br/><a href=""/wiki/Kacific_Broadband_Satellites"" title=""Kacific Broadband Satellites"">Kacific 1</a>
</td>","Success
",F9 B5,Success,11 November 2019,14:56
76,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,"No attempt
",5 December 2019,17:29
77,CCAFS,JCSat-18,"6,956 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/ISS_Crew_Transportation_Services"" title=""ISS Crew Transportation Services"">CTS</a>)<sup class=""reference"" id=""cite_ref-CCD6_509-0""><a href=""#cite_note-CCD6-509"">[497]</a></sup>
</td>","Success
",F9 B5B1056.3,Success,17 December 2019,00:10
78,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Failure,7 January 2020,02:19:21
79,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,19 January 2020,15:30
80,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 B5,Failure,29 January 2020,14:07
81,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,17 February 2020,15:05
82,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,7 March 2020,04:50
83,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/Commercial_Crew_Development"" title=""Commercial Crew Development"">CCDev</a>)
</td>","Success
",F9 B5,Success,18 March 2020,12:16
84,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,22 April 2020,19:30
85,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/><a href=""/wiki/Planet_Labs"" title=""Planet Labs"">Planet Labs</a>
</td>","Success
",F9 B5,Success,30 May 2020,19:22
86,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">U.S. Space Force</a><sup class=""reference"" id=""cite_ref-clark-20200630_542-1""><a href=""#cite_note-clark-20200630-542"">[530]</a></sup>
</td>","Success
",F9 B5,Success,4 June 2020,01:25
87,CCAFS,Starlink,"15,410 kg",LEO,"<td><a href=""/wiki/Republic_of_Korea_Army"" title=""Republic of Korea Army"">Republic of Korea Army</a>
</td>","Success
",F9 B5,Success,13 June 2020,09:21
88,CCAFS,GPS III,"4,311 kg",MEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/><a href=""/wiki/Spaceflight_Industries"" title=""Spaceflight Industries"">Spaceflight Industries</a> (BlackSky)
</td>","Success
",F9 B5,Success,30 June 2020,20:10:46
89,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/><a href=""/wiki/Planet_Labs"" title=""Planet Labs"">Planet Labs</a>
</td>","Success
",F9 B5B1058.2,Success,20 July 2020,21:30
90,KSC,Starlink,"14,932 kg",LEO,"<td><a class=""mw-redirect"" href=""/wiki/CONAE"" title=""CONAE"">CONAE</a><br/><a class=""new"" href=""/w/index.php?title=PlanetIQ&amp;action=edit&amp;redlink=1"" title=""PlanetIQ (page does not exist)"">PlanetIQ</a><br/><a href=""/wiki/Tyvak"" title=""Tyvak"">Tyvak</a>
</td>","Success
",F9 B5,Success,7 August 2020,05:12
91,CCAFS,Starlink,"~15,440 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1049.6,Success,18 August 2020,14:31
92,CCAFS,SAOCOM 1B,"3,130 kg",SSO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,30 August 2020,23:18
93,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
94,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
95,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">USSF</a>
</td>","Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
96,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Crew_Program"" title=""Commercial Crew Program"">CCP</a>)<sup class=""reference"" id=""cite_ref-CCD6_509-1""><a href=""#cite_note-CCD6-509"">[497]</a></sup>
</td>","Success
",F9 B5,Success,24 October 2020,15:31:34
97,CCAFS,GPS III,"4,311 kg",MEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> / <a class=""mw-redirect"" href=""/wiki/NOAA"" title=""NOAA"">NOAA</a> / <a class=""mw-redirect"" href=""/wiki/ESA"" title=""ESA"">ESA</a> / <a class=""mw-redirect"" href=""/wiki/EUMETSAT"" title=""EUMETSAT"">EUMETSAT</a>
</td>","Success
",F9 B5,Success,5 November 2020,23:24:23
98,KSC,Crew-1,"~12,500 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,16 November 2020,00:27
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 B5,Success,21 November 2020,17:17:08
100,CCAFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>
</td>","Success
",F9 B5 ♺,Success,25 November 2020,02:13
101,KSC,SpaceX CRS-21,"2,972 kg",LEO,"<td><a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>
</td>","Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
102,CCSFS,SXM-7,"7,000 kg",GTO,"<td><a href=""/wiki/T%C3%BCrksat_(company)"" title=""Türksat (company)"">Türksat</a>
</td>","Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
103,KSC,NROL-108,C,LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
104,CCSFS,Türksat 5A,"3,500 kg",GTO,"<td>Various
</td>","Success
",F9 B5,Success,8 January 2021,02:15
105,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1051.8,Failure,20 January 2021,13:02
106,CCSFS,Transporter-1,"~5,000 kg",SSO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1058.5,Success,24 January 2021,15:00
107,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5 ♺,Success,4 February 2021,06:19
108,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5 ♺,Success,16 February 2021,03:59:37
109,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5 ♺,Success,4 March 2021,08:24
110,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5 ♺,Success,11 March 2021,08:13:29
111,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5 ♺,Success,14 March 2021,10:01
112,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/ISS_Crew_Transportation_Services"" title=""ISS Crew Transportation Services"">CTS</a>)<sup class=""reference"" id=""cite_ref-CCD6_509-2""><a href=""#cite_note-CCD6-509"">[497]</a></sup>
</td>","Success
",F9 B5B1060.6,Success,24 March 2021,08:28
113,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5 ♺,Success,7 April 2021,16:34
114,KSC,Crew-2,"~13,000 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1061.2,Success,23 April 2021,9:49
115,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1060.7,Success,29 April 2021,03:44
116,KSC,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/> <a href=""/wiki/Capella_Space"" title=""Capella Space"">Capella Space</a> and <a href=""/wiki/Tyvak"" title=""Tyvak"">Tyvak</a>
</td>","Success
",F9 B5B1049.9,Success,4 May 2021,19:01
117,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1051.10,Success,9 May 2021,06:42
118,KSC,Starlink,"~14,000 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 B5B1058.8,Success,15 May 2021,22:56
119,CCSFS,Starlink,"15,600 kg",LEO,"<td><a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>
</td>",0,F9 B5B1063.2,0,26 May 2021,18:59
120,KSC,SpaceX CRS-22,"3,328 kg",LEO,0,0,F9 B5B1067.1,0,3 June 2021,17:29
121,CCSFS,SXM-8,"7,000 kg",GTO,0,0,F9 B5,0,6 June 2021,04:26
